69,6
40,7
39,8
36,17
75,10
41,10
73,10
39,13
71,8
75,11
73,9
36,15
71,10
36,12
72,11
73,8
73,6
71,14
39,12
75,10
40,13
35,12
40,8
39,14
70,13
39,12
36,13
38,15
38,14
38,15
72,11
41,13
77,10
37,12
38,10
40,15
38,11
73,13
37,13
38,14
72,12
72,13
37,17
72,9
38,12
70,11
37,12
74,10
71,13
41,14
40,16
79,9
77,4
33,16
35,13
42,9
71,9
74,7
39,16
73,10
71,11
39,13
36,12
40,13
41,9
38,13
74,10
71,9
69,11
40,14
33,11
73,5
74,10
41,12
75,9
74,9
38,12
39,13
37,12
34,15
72,11
40,16
33,12
34,9
38,10
37,10
37,13
38,16
38,12
35,19
76,12
74,9
39,12
73,7
41,13
74,9
34,13
38,10
38,12
72,13
69,12
31,18
75,7
36,14
39,14
40,12
70,11
41,15
42,11
75,12
70,8
76,9
72,10
71,9
33,16
77,16
40,13
39,11
41,11
76,13
73,13
36,11
38,16
36,15
38,10
81,12
71,12
72,15
38,11
73,8
36,7
40,12
39,16
36,13
41,12
70,3
37,13
73,10
74,11
37,12
39,18
76,12
73,16
37,14
76,14
33,14
37,15
33,14
38,16
78,8
40,12
73,5
35,13
40,13
68,13
38,13
36,12
69,14
72,7
74,6
69,8
73,15
74,7
39,13
75,13
68,8
74,10
75,11
72,10
77,10
78,7
36,10
37,15
73,9
39,13
37,18
39,12
41,13
36,18
69,11
39,16
72,11
75,6
76,9
74,10
71,12
69,11
37,13
39,15
73,10
42,16
68,11
44,12
73,15
76,9
37,10
33,11
39,10
74,9
77,9
